customer_id,new_address,postcode,state,property_valuation,transaction_id,product_id
1390,3 Hintze Pass,3133,VIC,10,88,31
2682,2 Mcbride Road,3070,VIC,10,89,0
439,67234 Transport Hill,2777,New South Wales,7,90,62
1579,72 Dorton Crossing,3133,VIC,10,91,17
2984,6 Heffernan Center,2125,New South Wales,11,92,73
3470,6088 Roxbury Hill,2766,New South Wales,8,93,33
1,105 Shelley Alley,2209,New South Wales,10,94,86
757,79 Merry Park,2160,New South Wales,9,95,45
1778,8722 Summit Alley,2065,New South Wales,12,96,1
211,9554 Artisan Pass,2150,New South Wales,10,97,80
333,55850 Butterfield Road,2168,New South Wales,9,98,49
32,68 Little Fleur Crossing,2046,New South Wales,12,99,95
119,85688 New Castle Crossing,4171,QLD,10,100,0
2347,8611 Loomis Lane,2155,New South Wales,10,101,18
2353,7909 Pierstorff Crossing,2517,New South Wales,9,102,4
788,1 Muir Parkway,2096,New South Wales,12,103,33
1468,410 Division Junction,2750,New South Wales,8,104,78
821,41 Service Lane,2217,New South Wales,11,105,89
2489,5 Moose Road,3977,VIC,8,106,70
2710,7342 Fieldstone Junction,2093,New South Wales,12,107,79
947, David Terrace,3204,VIC,11,108,26
1335,15239 Northwestern Point,4300,QLD,4,109,39
1076,60 Oneill Street,2170,New South Wales,9,110,36
3320,8194 Sachtjen Drive,3844,VIC,1,111,0
779,349 Farmco Terrace,2168,New South Wales,8,112,84
3296,185 Pennsylvania Way,4226,QLD,6,113,98
455,432 Longview Circle,3192,VIC,10,114,75
1779,5814 Bunker Hill Street,3070,VIC,7,115,76
2703,7 Carberry Crossing,2485,New South Wales,2,116,72
806,53 Talisman Trail,2097,New South Wales,9,117,42
22,5 Prairie Rose Road,4817,QLD,2,118,20
1591,84 Florence Parkway,2516,New South Wales,8,119,64
678,739 Elmside Way,3074,VIC,8,120,0
50,684 Northport Circle,2213,New South Wales,10,121,25
1038,8 Hagan Hill,4508,QLD,4,122,24
1453, Pearson Crossing,4405,QLD,1,123,31
1339,10918 Merry Way,2452,New South Wales,5,124,98
3382,97 Coolidge Trail,2142,New South Wales,9,125,22
773,58 Helena Hill,2205,New South Wales,7,126,53
2503,352 Forster Place,4132,QLD,3,127,84
1057,12306 Lawn Street,2145,New South Wales,8,128,25
1397,19392 7th Trail,4744,QLD,1,129,50
2134,1605 Northfield Junction,2158,New South Wales,11,130,44
2403,9674 Graceland Junction,3201,VIC,6,131,96
1937,638 Thackeray Junction,4178,QLD,3,132,12
1282,869 Forster Circle,2112,New South Wales,10,133,93
2183, Golden Leaf Crossing,2033,New South Wales,9,134,78
1788,215 Lindbergh Trail,4401,QLD,1,135,84
1170,829 Washington Crossing,3186,VIC,9,136,65
431,585 Loomis Court,2097,New South Wales,11,137,0
1940,68063 Blue Bill Park Center,3058,VIC,9,138,29
2073,15673 Farmco Point,4017,QLD,6,139,32
462,22 Oxford Junction,2315,New South Wales,3,140,11
2728,7245 Cottonwood Center,2285,New South Wales,5,141,10
2053,20382 Spohn Alley,2219,New South Wales,11,142,46
2135,12375 Cambridge Pass,2065,New South Wales,11,143,60
1217,3 Granby Parkway,3216,VIC,8,144,92
2992,939 Coleman Pass,4509,QLD,7,145,7
3261,69914 Bowman Place,2330,NSW,7,146,41
2748,34457 Springview Street,2759,NSW,9,147,67
3262,992 Old Shore Trail,2069,NSW,12,148,14
788,453 Sheridan Street,2747,NSW,8,149,89
3067,8 Mccormick Crossing,2227,NSW,8,150,9
701,63344 Holmberg Crossing,2025,NSW,10,151,31
648,9 Huxley Circle,3191,VIC,11,152,92
3286, Hazelcrest Road,3025,VIC,8,153,37
3383,2 Continental Plaza,2263,NSW,6,154,3
982,80 Duke Terrace,2233,NSW,10,155,56
676,860 Hintze Lane,2154,NSW,11,156,14
385,3723 Bunker Hill Circle,2065,NSW,10,157,6
1229,5 Corry Court,2119,NSW,10,158,50
3232,65105 Sommers Pass,3016,VIC,10,159,10
3300,2054 Sommers Pass,4113,QLD,4,160,0
2381,22371 Miller Trail,2032,NSW,10,161,69
371,35807 Oneill Way,4300,QLD,4,162,78
2519,75612 Clarendon Junction,4352,QLD,6,163,80
2264,16 Golf View Center,3020,VIC,6,164,17
2637,93 Iowa Junction,2116,NSW,9,165,3
3262,48 Cascade Terrace,3057,VIC,8,166,78
3177,13950 Jackson Avenue,2099,NSW,11,167,90
2267,35386 Mockingbird Road,3749,VIC,4,168,87
456,2 Randy Point,2766,NSW,8,169,97
404,6898 Redwing Park,2148,NSW,9,170,6
3121,52273 Bay Place,3145,VIC,11,171,100
2365,272 Montana Avenue,2021,NSW,8,172,55
2528,82520 Mifflin Drive,2333,NSW,5,173,100
3151,8 Dixon Parkway,2783,NSW,7,174,10
3241,4 Dayton Terrace,2280,NSW,9,175,25
1335,216 Barnett Junction,4120,QLD,8,176,74
2234,8256 Annamark Court,3638,VIC,1,177,90
3226,83012 Dapin Lane,4300,QLD,4,178,56
1365,8 Haas Park,2074,NSW,10,179,62
3349,50 Meadow Ridge Way,2880,NSW,1,180,20
1002,3567 Northfield Lane,2430,NSW,5,181,17
2282,059 Brentwood Road,4560,QLD,7,182,16
2656,274 Oneill Alley,2088,NSW,10,183,46
2409,4179 Carioca Terrace,2220,NSW,11,184,71
1711,59265 Sullivan Junction,3031,VIC,4,185,91
2582,7 Warbler Point,2250,NSW,9,186,17
1005,3 Buell Park,2261,NSW,7,187,1
1597, Bay Center,3196,VIC,6,188,3
2713,10878 Waywood Way,4352,QLD,7,189,56
1435,362 Mayer Terrace,4680,QLD,5,190,37
1477,43 Upham Crossing,3143,VIC,9,191,34
1614, Superior Drive,2747,NSW,8,192,0
1254,8890 Golden Leaf Street,2063,NSW,12,193,12
1423,5484 Hagan Crossing,3021,VIC,7,194,25
276,7451 Jana Lane,2138,NSW,8,195,81
1315,7 Havey Point,4005,QLD,2,196,19
591,32 Steensland Plaza,2233,NSW,9,197,45
1017,107 Elmside Parkway,4811,QLD,5,198,74
2123,2 Gina Junction,2085,NSW,11,199,33
2889,4 Londonderry Lane,3084,VIC,10,200,57
3208,39716 Vera Junction,3170,VIC,9,201,0
2406,183 Ronald Regan Street,2066,NSW,9,202,23
2041,2 Thierer Road,4113,QLD,8,203,67
1598,56 Stone Corner Alley,4078,QLD,7,204,81
1842,528 Mandrake Crossing,2222,NSW,11,205,58
141,19969 5th Parkway,3152,VIC,9,206,5
1321,78 Rockefeller Park,2159,NSW,10,207,94
183,417 Transport Trail,4503,QLD,4,208,51
2591,6327 Lunder Crossing,4655,QLD,4,209,59
3356,811 Tony Road,4220,QLD,9,210,63
766, Northport Court,4012,QLD,3,211,40
1596,231 Havey Court,2153,NSW,10,212,80
520,603 Kenwood Avenue,2070,NSW,11,213,82
868,9040 Myrtle Parkway,2015,NSW,8,214,46
2999,5241 Shelley Park,2776,NSW,8,215,78
352,7 Pankratz Point,3011,VIC,8,216,72
1140,51 Crescent Oaks Parkway,2761,NSW,8,217,75
621,49 Emmet Junction,2015,NSW,11,218,40
3307,78 Surrey Place,2502,NSW,7,219,2
1502,6236 Summerview Terrace,2110,NSW,12,220,10
936,682 Sheridan Avenue,2566,NSW,9,221,35
939,4139 Delladonna Place,2519,NSW,7,222,8
2698,2 Scott Circle,2506,NSW,9,223,2
579,92253 Kensington Drive,2209,NSW,7,224,69
2036,93 Westend Terrace,2116,NSW,10,225,54
3077,4 5th Point,2075,NSW,11,226,8
369,11667 Blackbird Street,2226,NSW,10,227,86
821, Sommers Circle,2145,NSW,9,228,13
2687,2 Northridge Street,2508,NSW,10,229,19
681,816 Spohn Center,2036,NSW,10,230,86
37,98 Service Court,2018,NSW,8,231,46
3002,6 Morning Park,3666,VIC,2,232,30
396,4263 Hanson Place,2021,NSW,11,233,92
550,6159 Katie Street,2750,NSW,8,234,71
1605,95 Eliot Street,4514,QLD,3,235,77
2325, Westend Park,2525,NSW,9,236,7
1420,39988 Porter Pass,4152,QLD,7,237,23
3099,796 Melody Park,2200,NSW,9,238,12
1645,2914 Vahlen Lane,2250,NSW,8,239,61
546,65 Kinsman Trail,3023,VIC,6,240,21
2885,7227 Hoard Terrace,3500,VIC,1,241,86
2740,25503 Evergreen Drive,4300,QLD,5,242,57
3166,2 2nd Plaza,2283,NSW,4,243,63
3487,122 Melrose Drive,2102,NSW,10,244,63
2890,37024 Anniversary Place,2204,NSW,11,245,33
3370,91141 Huxley Parkway,2040,NSW,10,246,98
3393,4 Fallview Trail,2749,NSW,8,247,15
2410,8029 Gulseth Center,2304,NSW,7,248,57
3466,77248 Columbus Drive,2340,NSW,7,249,61
1454,850 Schmedeman Drive,3580,VIC,1,250,48
1967,131 Northfield Parkway,3355,VIC,2,251,63
3089,5130 Manley Court,2287,NSW,7,252,78
3123,879 Coolidge Point,2324,NSW,5,253,2
2692,6759 Nevada Point,2323,NSW,6,254,67
2801,8208 Parkside Point,2320,NSW,6,255,67
1580,15 Straubel Way,4680,QLD,2,256,13
352,7 Eastlawn Street,2346,NSW,1,257,65
1777,42067 Duke Terrace,2031,NSW,10,258,49
142,50 Everett Way,2064,NSW,9,259,87
3393,454 Green Ridge Avenue,2176,NSW,10,260,31
599,19220 Evergreen Crossing,3195,VIC,9,261,17
1258,109 Tomscot Avenue,2010,NSW,10,262,91
3405,48 Arizona Drive,2768,NSW,10,263,53
3198,92 Lyons Place,2752,NSW,9,264,38
834,47 Jana Junction,3802,VIC,7,265,20
3467,90173 Oneill Place,3071,VIC,10,266,44
3436,6262 Elgar Avenue,4735,QLD,2,267,69
1516,5668 Corscot Circle,2065,NSW,12,268,68
2833,8 Texas Plaza,3081,VIC,9,269,11
2362,32062 Oak Terrace,3205,VIC,8,270,2
2337,7158 Roth Pass,2165,NSW,4,271,27
2149,370 Portage Parkway,3125,VIC,8,272,0
2133,19795 Bultman Circle,4214,QLD,8,273,81
360,3 Corscot Crossing,2030,NSW,12,274,6
2969,34 Kim Center,2036,NSW,11,275,76
1720,8 Starling Pass,2767,NSW,8,276,18
2904,36 Vidon Parkway,2798,NSW,6,277,18
754,8 Riverside Place,4211,QLD,5,278,9
1826,28604 Bellgrove Circle,4508,QLD,6,279,35
2487,2 Cottonwood Road,2032,NSW,11,280,93
2815,58 Parkside Hill,2117,NSW,12,281,40
541,747 Thackeray Circle,4551,QLD,7,282,1
302,5583 Prairie Rose Trail,2765,NSW,8,283,16
2024,71 Cardinal Point,3064,VIC,7,284,44
142,7169 North Lane,2023,NSW,9,285,48
768,6923 Tennessee Circle,2766,NSW,9,286,56
2147,8207 Cascade Court,3810,VIC,5,287,36
529,2 Brentwood Place,4151,QLD,8,288,36
825,0 5th Lane,2830,NSW,2,289,13
624,807 Beilfuss Crossing,3030,VIC,7,290,55
2302,76 Graedel Street,4812,QLD,6,291,38
3380,29886 Crownhardt Crossing,2141,NSW,8,292,64
314,1 Drewry Junction,3810,VIC,7,293,0
1079,83 Brickson Park Drive,3029,VIC,8,294,79
1643,95 Almo Junction,2173,NSW,9,295,11
1524,8 Golf View Plaza,3199,VIC,9,296,91
3205,6170 Buena Vista Way,2320,NSW,7,297,18
2860, Orin Place,4506,QLD,7,298,17
772,20924 Banding Crossing,2516,NSW,9,299,13
323,91193 Petterle Road,2035,NSW,11,300,4
2530,1459 Fremont Place,2747,NSW,4,301,78
2426,58 Spenser Circle,3030,VIC,3,302,42
1883,93 Lawn Park,3152,VIC,9,303,48
2745,5982 Mosinee Avenue,3340,VIC,5,304,12
2819,37006 Hoard Circle,3182,VIC,7,305,77
792,6 Corry Pass,2450,NSW,9,306,25
923,99 Nova Plaza,2227,NSW,10,307,35
3353,252 Mockingbird Plaza,2216,NSW,10,308,7
3394,990 Kensington Park,3796,VIC,8,309,68
3213,706 Anniversary Alley,3064,VIC,3,310,75
3260,52 Corben Place,3197,VIC,10,311,77
1015,4270 Loeprich Lane,3064,VIC,7,312,1
2266,2 Clyde Gallagher Drive,2232,NSW,10,313,81
58,671 American Ash Way,2365,NSW,2,314,6
3118,93 American Ash Avenue,2747,NSW,8,315,40
1414,1108 Nevada Junction,4701,QLD,2,316,62
2202,41 Spaight Road,4503,QLD,5,317,90
2144,5 Schurz Place,4350,QLD,6,318,32
1033,82 8th Alley,4210,QLD,9,319,65
2157,84 Lawn Way,2223,NSW,9,320,15
1097, Coolidge Avenue,4122,QLD,8,321,36
2757, Graceland Plaza,2515,NSW,10,322,12
87,8717 Mandrake Place,4214,QLD,8,323,67
2049,2 Thierer Lane,3437,VIC,8,324,87
952,19507 Red Cloud Park,3338,VIC,4,325,62
1745,3 Golf Course Avenue,2203,NSW,9,326,55
40,42 Bunker Hill Avenue,2088,NSW,8,327,1
372,45793 Nancy Plaza,4226,QLD,8,328,98
1627,314 Northland Plaza,4213,QLD,5,329,79
444,3093 Mockingbird Place,3356,VIC,2,330,1
217,82 Mcbride Trail,3223,VIC,6,331,61
1656,24044 Bonner Hill,3032,VIC,8,332,71
485,1 Rowland Circle,3105,VIC,10,333,58
2252,7 Arapahoe Pass,3101,VIC,12,334,86
3103,7905 Spaight Alley,2763,NSW,8,335,95
506,8 Grayhawk Circle,2089,NSW,10,336,55
1615,3 Lyons Road,2759,NSW,8,337,82
1881,72419 Eagan Road,2040,NSW,10,338,32
2903,6860 Green Ridge Avenue,2126,NSW,11,339,65
1274,85 Straubel Park,2147,NSW,9,340,49
1443,8 Ronald Regan Plaza,2251,NSW,9,341,1
2091,44621 Linden Drive,2155,NSW,10,342,24
1478,3 Moulton Lane,2153,NSW,9,343,61
1493,7633 Mayer Plaza,2768,NSW,10,344,7
1614,98 Westerfield Trail,3127,VIC,11,345,84
476,1826 Hazelcrest Park,3087,VIC,9,346,48
1777,98 Sutteridge Point,3131,VIC,10,347,16
940,6 Sunbrook Center,4350,QLD,6,348,40
2930,143 Elka Circle,3134,VIC,9,349,100
2354,293 Porter Crossing,2830,NSW,5,350,27
1582,7447 Nevada Park,2193,NSW,8,351,59
416,7 Park Meadow Drive,4055,QLD,3,352,34
1013,780 Carberry Place,3199,VIC,9,353,18
533,5337 Dennis Pass,2170,NSW,9,354,83
968,7 Debs Point,2322,NSW,4,355,82
727,708 Russell Parkway,2530,NSW,7,356,88
1160,66286 Homewood Alley,2075,NSW,11,357,77
3425,8728 Express Way,2340,NSW,7,358,6
1614,93583 Moland Way,2066,NSW,12,359,10
2140,18264 Maryland Way,4217,QLD,9,360,69
2589,411 Homewood Lane,4020,QLD,5,361,15
2920,8 Mariners Cove Drive,2096,NSW,10,362,7
62,279 Jenna Circle,2179,NSW,12,363,73
1112,382 Maywood Parkway,4127,QLD,6,364,32
1995,6085 Petterle Circle,3130,VIC,10,365,39
1965,6324 Michigan Trail,4570,QLD,4,366,28
1614,92808 Mallard Terrace,3215,VIC,4,367,0
366,841 Anderson Drive,3101,VIC,8,368,25
2682,67884 Fair Oaks Parkway,3931,VIC,9,369,32
2993,1823 Judy Center,3165,VIC,10,370,78
1887,953 Eliot Crossing,2166,NSW,9,371,44
1692,90761 Shasta Pass,3936,VIC,7,372,56
1927,259 Barnett Crossing,2265,NSW,5,373,1
2567, Brown Trail,2203,NSW,9,374,15
3276,3467 Prairie Rose Lane,3034,VIC,7,375,17
1808,24 Scoville Parkway,4670,QLD,1,376,0
2368,10 Namekagon Parkway,2062,NSW,12,377,7
470,99826 Steensland Avenue,2162,NSW,5,378,53
3270,28809 Mesta Pass,4170,QLD,8,379,20
1683,201 Randy Parkway,3033,VIC,7,380,3
880,58211 Surrey Crossing,2170,NSW,9,381,14
309,720 Menomonie Avenue,2749,NSW,8,382,83
1698,4604 Cordelia Drive,2144,NSW,10,383,39
1434,3788 Service Trail,3805,VIC,8,384,67
2712,8 Holy Cross Center,2047,NSW,9,385,40
892,740 Calypso Drive,2100,NSW,10,386,13
832,9457 Arizona Plaza,2642,NSW,2,387,100
1033,75 Bartillon Street,3228,VIC,8,388,35
2834,7 Reinke Junction,2145,NSW,10,389,17
3015,7343 Washington Road,2287,NSW,5,390,79
3484,3 Valley Edge Trail,3444,VIC,7,391,86
2775,32 Farragut Avenue,2076,NSW,11,392,9
1208,5 Florence Hill,4124,QLD,7,393,58
2109,95 Prairieview Circle,3191,VIC,12,394,58
3195,47226 Algoma Place,4305,QLD,3,395,43
3366,564 Northview Junction,3195,VIC,11,396,88
2492,5359 Alpine Hill,2579,NSW,5,397,15
389,586 Miller Parkway,2835,NSW,1,398,6
1306,32571 Dixon Center,3337,VIC,3,399,83
552,333 Bunting Crossing,2536,NSW,4,400,0
3009,1 Red Cloud Street,2770,NSW,8,401,82
2925,7 New Castle Circle,2646,NSW,1,402,88
140,78152 Harper Parkway,2756,NSW,8,403,14
209,981 West Way,3133,VIC,10,404,67
225,8 Monterey Plaza,2066,NSW,9,405,76
1595,25 Graceland Way,2750,NSW,8,406,0
2559,41605 Mitchell Street,2750,NSW,8,407,0
769,42 Upham Pass,4558,QLD,3,408,18
1282,17 Sunfield Road,2211,NSW,9,409,23
2377,84549 Jenifer Crossing,2570,NSW,8,410,82
3355,5449 Jenna Road,2170,NSW,9,411,62
2350,5 Butternut Crossing,4552,QLD,4,412,20
720,7427 Fuller Trail,3082,VIC,8,413,60
3249,713 Eastwood Terrace,2360,NSW,1,414,65
2939,7526 Artisan Parkway,4223,QLD,8,415,76
1035,3 Oriole Place,3183,VIC,7,416,17
492,690 Hanson Center,2330,NSW,3,417,73
3100,509 Fisk Hill,2031,NSW,11,418,39
1586,27 Petterle Center,4370,QLD,2,419,34
31,3 Annamark Avenue,3150,VIC,11,420,97
887,311 Dapin Point,2549,NSW,3,421,9
3356,15082 Crest Line Plaza,3040,VIC,8,422,11
2498,1 Carey Pass,2065,NSW,11,423,82
3415,8 Moland Pass,2065,NSW,10,424,96
2828,25386 Fallview Place,2340,NSW,3,425,28
3117,8078 Talisman Trail,4209,QLD,7,426,39
2850,6920 Dwight Circle,4173,QLD,7,427,70
2779,9 Lukken Parkway,2065,NSW,10,428,62
683,9 Graceland Junction,3204,VIC,2,429,84
2342,155 Basil Junction,2210,NSW,10,430,21
3388,4284 Surrey Circle,2068,NSW,12,431,7
1968,4 Almo Plaza,2085,NSW,10,432,79
2923,91 Porter Pass,3064,VIC,7,433,39
15,07 Gerald Place,3074,VIC,4,434,67
2659,8788 Armistice Trail,3806,VIC,8,435,4
3417,1693 Artisan Hill,2259,NSW,6,436,96
1862,532 Emmet Way,2260,NSW,8,437,13
1670,3 Sutteridge Park,4074,QLD,6,438,76
2126,25522 Mosinee Point,4215,QLD,7,439,33
2702,421 Bobwhite Road,2160,NSW,6,440,54
125,41 Ronald Regan Center,3008,VIC,5,441,93
750,3 Loomis Crossing,2217,NSW,9,442,63
359,93 Jana Junction,2213,NSW,10,443,52
2820,528 Buell Crossing,2748,NSW,10,444,33
850,261 Northport Lane,2567,NSW,7,445,65
3072,98 Scott Parkway,2096,NSW,10,446,50
820,8385 Lien Drive,3192,Victoria,10,447,0
919,24919 Artisan Court,3015,Victoria,8,448,4
1250,37093 Manitowish Center,2170,NSW,10,449,26
1655,9 Monterey Point,4221,QLD,10,450,5
1194,6 Mariners Cove Center,2233,NSW,10,451,29
234,572 Gerald Trail,2145,NSW,7,452,80
724,7 Farmco Trail,2759,NSW,9,453,9
1976,19964 Nancy Drive,3121,Victoria,8,454,9
193,57 Columbus Road,4870,QLD,5,455,24
1588,455 Hooker Lane,3337,Victoria,2,456,84
290,777 Farwell Pass,2118,NSW,10,457,100
167,23 Glacier Hill Avenue,2259,NSW,6,458,7
2821,8750 Lakewood Gardens Park,2760,NSW,7,459,51
1201,619 Dorton Plaza,3150,Victoria,11,460,21
893,3469 Service Road,2770,NSW,5,461,46
2794,9 Dahle Place,2763,NSW,9,462,62
3166,8 Dayton Park,2050,NSW,9,463,96
1422,91 Farragut Crossing,3058,Victoria,9,464,81
3476,70488 Logan Court,2074,NSW,12,465,31
505, Golf Lane,2120,NSW,11,466,13
1132,663 Bellgrove Parkway,3812,Victoria,8,467,59
2363,9907 Morningstar Pass,2147,NSW,9,468,53
1816,29 South Point,3111,Victoria,9,469,12
73,91 Eagle Crest Circle,2567,NSW,9,470,18
647,781 Dorton Avenue,3012,Victoria,10,471,18
1304,47 Dwight Road,4217,QLD,8,472,2
344,6674 Russell Center,2197,NSW,9,473,25
1001,84041 Holy Cross Circle,2142,NSW,8,474,18
2724,340 Northview Circle,2340,NSW,4,475,16
1787,74011 Manufacturers Street,2320,NSW,6,476,21
367,30991 Macpherson Parkway,2155,NSW,9,477,73
524,40504 Tennyson Drive,2046,NSW,9,478,98
479,76369 Ridge Oak Place,3162,Victoria,9,479,69
1782,51188 Annamark Hill,2037,NSW,9,480,52
361,0976 Sundown Lane,2428,NSW,3,481,16
1135,87 Stone Corner Park,3141,Victoria,7,482,17
1591,9 Westridge Road,3178,Victoria,9,483,59
941,4671 Buell Trail,3564,Victoria,2,484,3
804,3743 Melody Avenue,3550,Victoria,4,485,87
2729,8670 Pine View Street,3070,Victoria,11,486,25
223,31 Twin Pines Trail,3775,Victoria,10,487,27
1571,11731 3rd Hill,3004,Victoria,9,488,10
2747,411 Lien Place,4226,QLD,10,489,82
506,431 Ilene Center,2026,NSW,10,490,11
2676,4 Pond Parkway,3185,Victoria,9,491,32
547,61293 Delladonna Way,2015,NSW,9,492,90
2623,6390 Truax Park,3012,Victoria,9,493,44
1509,470 Bunting Center,2447,NSW,3,494,92
479,2 Boyd Crossing,3143,Victoria,7,495,21
661,2639 Brown Road,3910,Victoria,7,496,0
1854,897 Little Fleur Way,3621,Victoria,8,497,62
125,353 Stuart Trail,4702,QLD,3,498,72
1037,9 Rowland Road,2133,NSW,10,499,22
1446,830 Summit Center,3075,Victoria,7,500,79
2810,4754 Moulton Alley,2069,NSW,9,501,28
500,808 Debra Center,3911,Victoria,10,502,77
2468,8739 Service Park,2250,NSW,8,503,87
1785,4 Thackeray Pass,2487,NSW,9,504,5
2560,9 Bayside Hill,4123,QLD,6,505,66
1853,20373 Kensington Pass,2151,NSW,8,506,66
3468,7 Hooker Place,2428,NSW,3,507,71
3389,89 Old Shore Point,3156,Victoria,8,508,91
3015,5723 Raven Drive,3126,Victoria,12,509,17
3073,8501 Kropf Trail,3152,Victoria,10,510,85
683,12845 Paget Lane,2026,NSW,12,511,24
1020,1 Vidon Pass,2233,NSW,8,512,62
1052,590 Hayes Court,2027,NSW,11,513,0
1679,49503 Sachtjen Circle,4208,QLD,8,514,57
3330,2595 Grover Drive,3124,Victoria,12,515,53
1591,3169 Old Gate Point,2211,NSW,9,516,43
311,90974 Chinook Parkway,2564,NSW,8,517,77
1996,75790 Towne Avenue,4221,QLD,9,518,84
997,62 Northport Lane,2049,NSW,10,519,77
1276,84 Calypso Circle,3690,Victoria,5,520,88
693,81848 Amoth Road,3282,Victoria,2,521,92
3013,27230 7th Place,2068,NSW,12,522,7
2234,1 Cordelia Alley,2261,NSW,8,523,84
1171,80 Lakewood Street,2576,NSW,10,524,99
1849,66834 Melby Way,2160,NSW,9,525,37
